weekdate,position,artist,track
2010-02-12,4,GLEE CAST,DON'T STOP BELIEVIN'
2010-02-12,5,ALICIA KEYS,EMPIRE STATE OF MIND (PART II)
2010-02-12,6,IYAZ,REPLAY
2010-02-12,7,3OH3 FT KATY PERRY,STARSTRUKK
2010-02-12,8,JLS,ONE SHOT
2010-02-12,9,JOURNEY,DON'T STOP BELIEVIN'
2010-02-12,10,EXAMPLE,WON'T GO QUIETLY
2010-02-12,11,KESHA,BLAH BLAH BLAH
2010-02-12,12,MARINA & THE DIAMONDS,HOLLYWOOD
2010-02-12,13,SIDNEY SAMSON FT WIZARD SLEEVE,RIVERSIDE (LET'S GO)
2010-02-12,14,JAY SEAN/SEAN PAUL/LIL JON,DO YOU REMEMBER
2010-02-12,15,JAY-Z FT MR HUDSON,YOUNG FOREVER
2010-02-12,16,LADY GAGA,BAD ROMANCE
2010-02-12,17,ALEXANDRA BURKE,BROKEN HEELS
2010-02-12,18,KESHA,TIK TOK
2010-02-12,19,SATURDAYS,EGO
2010-02-12,20,RIHANNA,RUDE BOY
2010-02-12,21,N-DUBZ FT MR HUDSON,PLAYING WITH FIRE
2010-02-12,22,JAY-Z FT ALICIA KEYS,EMPIRE STATE OF MIND
2010-02-12,23,PLAN B,STAY TOO LONG
2010-02-12,24,FLORENCE & THE MACHINE,YOU'VE GOT THE LOVE
2010-02-12,25,BLACK EYED PEAS,MEET ME HALFWAY
2010-02-12,26,GLEE CAST,SOMEBODY TO LOVE
2010-02-12,27,ALICIA KEYS,DOESN'T MEAN ANYTHING
2010-02-12,28,TIMBALAND/NELLY FURTADO/SOSHY,MORNING AFTER DARK
2010-02-12,29,JUSTIN BIEBER,ONE TIME
2010-02-12,30,BIFFY CLYRO,MANY OF HORROR
2010-02-12,31,RIHANNA,RUSSIAN ROULETTE
2010-02-12,32,PIXIE LOTT,CRY ME OUT
2010-02-12,33,BLACK EYED PEAS,I GOTTA FEELING
2010-02-12,34,YOUNG MONEY FT LLOYD,BEDROCK
2010-02-12,35,CHIPMUNK FT TALAY RILEY,LOOK FOR ME
2010-02-12,36,PITBULL FT AKON,SHUT IT DOWN
2010-02-12,37,ONEREPUBLIC,ALL THE RIGHT MOVES
2010-02-12,38,CALVIN HARRIS,YOU USED TO HOLD ME
2010-02-12,39,LADY GAGA FT BEYONCE,TELEPHONE
