artist_name,artist_id,artist_popularity,artist_image,primary_genre,super_genre
Giuseppe Galante,6cUuZji3Nkds7LZm6WfHpX,0,https://i.scdn.co/image/ab67616d0000b273df7b9ebadb30772b59b665d5,Classical,Classical/Orchestral
Glitter Thief,1PKJ8a62DgXdw34XoOTrSx,0,https://i.scdn.co/image/ab6761610000e5eb79c431d27f914274db78835e,,
Gorm Askjær Secret Safari,7LrNVmH4pDR8A0MVPiKV65,0,https://i.scdn.co/image/ab67616d0000b27300d201de97252b6839ed7403,nu jazz,Jazz
Green Fact,6byHPtZeahtsDJyMtsJ4g6,0,https://i.scdn.co/image/ab67616d0000b273ff2976624d2ebf3c1e551ef5,psytrance,Techno & Trance
Greena,1Lu0h2Rc5Gy6RDDNMOyv7G,0,https://i.scdn.co/image/ab67616d0000b273e38c443d545108403da4169d,uk funky,Garage & Breaks
Grey Area 03,5zaaSq5kBeam20iRoCahMj,0,https://i.scdn.co/image/ab67616d0000b2738b854c715cb12734db2e496e,,
Grey Fields,76JwlkXcpyVuS3H6hUKUYy,0,https://i.scdn.co/image/ab6761610000e5ebda7a8638ae7119aab996623f,,
HD Substance,3cZpYRPu0xR9zSSyPEldVU,0,https://i.scdn.co/image/ab67616d0000b27337d08796b26a0c8feb1c3d81,Electronic,Ambient & Experimental Electronic
HUNK,255lrcSspz44yakhvbO9ra,0,https://i.scdn.co/image/ab6761610000e5eb06726bb588a00d3139562aef,Rock,Rock
HUREN,1i27Umpz7ZtcEXWN2lK206,0,https://i.scdn.co/image/ab67616d0000b273ce8e3c5b91d3d677a51423ff,industrial,Alternative/Indie
Harris & Brooks,3CTPVg0f25jkodFlfAPcQi,0,https://i.scdn.co/image/ab67616d0000b27301789cd07a935dae7f6abc4f,Electronic,Ambient & Experimental Electronic
Harry Edwards,5l6T8qOBj24gRiXWJnUT5C,0,https://i.scdn.co/image/ab6761610000e5ebfea66a2a1feaee0c59e30e77,"Folk, World, & Country",Folk/Acoustic
Harry Wilson,3HlppbUVAZ7D6DQ214BD8T,0,https://i.scdn.co/image/ab6761610000e5ebec0fc7bd250852193e4d27b6,"Folk, World, & Country",Folk/Acoustic
Hello the Mind Control,01o5XPCNyLbjDvkejcMwU1,0,https://i.scdn.co/image/ab67616d0000b273f5c463afeb2b6acb8129a735,Rock,Rock
Henri Brod,3ihZ8LcRKm4rPe7pceUF34,0,https://i.scdn.co/image/ab67616d0000b2733c69bf556332c0d520903eb3,Classical,Classical/Orchestral
Hesselager/Tagel/Laub,4Tzurz32tX5O2t2c6DH6q8,0,https://i.scdn.co/image/ab67616d0000b273967f37c5e51ef247ed1f9630,,
Hexagram,50yndHG7CLYqjXCs9pHCNQ,0,https://i.scdn.co/image/ab67616d0000b27356c57f35eaf7c3854532220f,Rock,Rock
Hiroki Yamamura,0Aa4rSHm0camTjhAh3aBfk,0,https://i.scdn.co/image/ab6761610000e5eb1398a8381f49b3cc0fb7e0b3,footwork,Bass Music
Holiday Music,03swdHjGpkcZ4PRUscyytu,0,https://i.scdn.co/image/ab67616d0000b273714b9f8225fa465f58487760,Electronic,Ambient & Experimental Electronic
Hound Scales,3okk9uA5OVmHovTDKRn4Fq,0,https://i.scdn.co/image/ab67616d0000b273696dc5f1f9ce343da286be52,Electronic,Ambient & Experimental Electronic
Hunk,1S720Gbp0Sn13h3Dby9Kn0,0,https://i.scdn.co/image/ab67616d0000b273bcbb166bb1d6d4bf8ba0bfa3,Rock,Rock
Hybernation,1JeUzF9WDhRPcixNN6etfV,0,https://i.scdn.co/image/ab67616d0000b273b38cd1a7ffa1585bad52aee1,Electronic,Ambient & Experimental Electronic
I Cried Wolf,28Dq2rFAgbaO4ehLeSUG7K,0,https://i.scdn.co/image/ab6761610000e5eb973f94c351aeb75d4a19f124,,
Ilk,3CDn6ZRqYq3MffMg0KPII7,0,https://i.scdn.co/image/ab67616d0000b273f4ff571056530537703cb3d3,jungle,Garage & Breaks
In Lucid Dreams,51MXD6pw6YIV24TAlaI3IC,0,https://i.scdn.co/image/ab6761610000e5eb36c46b0f0af25c68d60891cd,metalcore,Metal
Indigo Lo,1K7vnfAoxgzS6ZFV9V1AQO,0,https://i.scdn.co/image/ab6761610000e5ebbb2d5135b593d536bf4b939c,,
Indira Valey,1JkAsYbfnT85vy8GohmZ0i,0,https://i.scdn.co/image/ab6761610000e5eb0fcf5fcf0a9cf353339d15ad,anti-folk,Folk/Acoustic
Infinity Dragon,5RkPfHworAORpjegIZLNud,0,https://i.scdn.co/image/ab6761610000e5eb6ca0c21e27c421af8e2d4de0,,
