artist_image,artist_id,artist_popularity,artist_name,supergenre,genres,primary_genre
https://i.scdn.co/image/ab6761610000e5eb921716859bdbb56984da6073,0Upmz8QvuLAkKAfRlJYWTL,50.0,Split Enz,Pop,,new wave
https://i.scdn.co/image/ab6761610000e5eb32bf799ae2cc418c0b8360dc,1sLYZv95ZXwVfyGHan5w45,51.0,Jaykae,Bass Music,,grime
https://i.scdn.co/image/ab6761610000e5ebc51c529743da7dff0540c0d0,3jTlKw98Ql1jGRPYqhqHap,57.0,Skindred,Metal,,nu metal
https://i.scdn.co/image/ab6761610000e5eb26122c450575d6172416cfd2,614kirduDphBL5NZebU3Zi,21.0,YEAR OF THE OX,Hip Hop/Rap,,k-rap
https://i.scdn.co/image/ab6761610000e5ebd490fdf3773d1387ad2acc6d,0h6JSIfoSSbXtaBWiUC4Wy,29.0,DRWN.,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/b3c7f666776c6c2c808e90f88f6b0cdb634373dd,4JMye18gQjYis7boz7XWyC,31.0,Francesco Paolo Tosti,World/Traditional,,canzone napoletana
https://i.scdn.co/image/ab6761610000e5ebcaa88f6b6c73e959f4fd5027,0Q2Tc5yZFJpumLMc7Yz4e4,48.0,Tomppabeats,Hip Hop/Rap,,lo-fi
https://i.scdn.co/image/ab6761610000e5eb938de497bad92a7e26de7c27,0yIO6HI875mLzamqmjjFFU,39.0,Elijah Nang,Hip Hop/Rap,,lo-fi
https://i.scdn.co/image/ab67616d0000b273f80e4edb61599bf12fd5e6fd,5gxFATolBfLFia3aWrd16Y,4.0,Bertrand Blessing,House & EDM,,acid house
https://i.scdn.co/image/ab6761610000e5eb0e22247594849f5d0cec1bef,0eEQAbC1TFqlGdqIa5YjKY,39.0,Devaloop,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab6761610000e5eb493566931abd16170b8e4df3,46CH1Gp8l8QVly8bpG9JFG,56.0,Anita Baker,R&B/Soul,,quiet storm
