date (dd-mm-yyyy),webTitle,short_description,webUrl,imageUrl,section
12-09-2020,Dozens missing in Oregon as historic fires devastate western US,"At least 23 dead in California, Oregon and Washington as Washington governor Jay Inslee says: ‘We have to start thinking of it as a climate fire’",https://www.theguardian.com/world/2020/sep/11/oregon-fires-california-washington-deaths-wildfires,https://media.guim.co.uk/63974dfd3b54526ce68cdf13a2ac782b6937f424/0_245_7360_4414/500.jpg,world
13-09-2020,‘Why I’m putting the faces of black British heroes on grocery shelves’,British farmer Wilfred Emmanuel-Jones says supermarkets will sell his new range of sausages featuring the faces of Mary Seacole and others during Black History Month,https://www.theguardian.com/world/2020/sep/13/why-im-putting-the-faces-of-black-british-heroes-on-grocery-shelves,https://media.guim.co.uk/45d125569aed80a6ea4b51012ad553a2da93c24e/0_11_2362_1417/500.jpg,world
14-09-2020,Yoshihide Suga: the farmer's son set to be Japan's next PM,The favourite may be the Abe continuity candidate but his background could not be more different ,https://www.theguardian.com/world/2020/sep/14/yoshihide-suga-the-farmers-son-set-to-be-japans-next-pm,https://media.guim.co.uk/474602dcf266ec9e0a5d0b4dacc3fd0c99b2fb8e/0_0_3500_2101/500.jpg,world
15-09-2020,I have lost much of my childhood fluency in te reo Māori – we must fight for its survival | Leigh-Marama McLachlan,"New Zealand’s national language week will have little or no impact on most Kiwis, but we must protect te reo as a national treasure",https://www.theguardian.com/world/2020/sep/15/i-have-lost-much-of-my-childhood-fluency-in-te-reo-maori-we-must-fight-for-its-survival,https://media.guim.co.uk/d854f7b611b1aa729f7561b0b49b9577b5a7d3c6/0_96_1080_648/500.jpg,world
16-09-2020,How about Jeffrey? Canada town of Asbestos reveals shortlist for new name,"Contenders to help the mostly French-speaking town in Quebec move on from its past include Phénix, Trois-Lacs and ... Jeffrey",https://www.theguardian.com/world/2020/sep/16/how-about-jeffrey-canada-town-of-asbestos-reveals-shortlist-for-new-name,https://media.guim.co.uk/f0aa6736b644bd56cb1a227436c2fa0bf465bc85/0_0_1711_1027/500.jpg,world
17-09-2020,Hurricane Sally: slow-moving storm kills one and leaves 'historic' flooding across US Gulf coast,"Pensacola, Florida, and Mobile, Alabama, battered as rooftops torn off and more than half a million lose power",https://www.theguardian.com/world/2020/sep/16/hurricane-sally-latest-news-storm-gulf-coast-path-flooding,https://media.guim.co.uk/766e42d4451e401ba9fdf5b0f414250c667a6c63/0_0_3000_1799/500.jpg,world
18-09-2020,"New Zealanders want small parties at the political table, but the system is stacked against them | Claire Robinson","In an election that sorely needs alternative voices, small parties face an impossibly steep climb to be seen or heard",https://www.theguardian.com/world/2020/sep/18/new-zealanders-want-small-parties-at-the-political-table-but-the-system-is-stacked-against-them,https://media.guim.co.uk/5a113f71c29f2892b051a5bc4d14cf675dd57d29/0_0_2008_1205/500.jpg,world
19-09-2020,Bye bye bilaterals: UN general assembly to embrace Zoom diplomacy, Conditions that make the annual event a diplomats’ playground will be absent as it goes mostly online ,https://www.theguardian.com/world/2020/sep/19/bye-bye-bilaterals-un-general-assembly-embrace-zoom-diplomacy,https://media.guim.co.uk/786c8b8eb680bac598a851d099e224bb71be732e/0_283_4776_2866/500.jpg,world
20-09-2020,Pilgrim fathers: harsh truths amid the Mayflower myths of nationhood,"As Plymouth marks 400 years since the colonists set sail, the high price paid by Native American tribes is now revealed in an exhibition",https://www.theguardian.com/world/2020/sep/20/pilgrim-fathers-harsh-truths-amid-the-mayflower-myths-of-nationhood,https://media.guim.co.uk/f139d0c94151b0798904264a60b0b3020ac9e752/0_379_3557_2135/500.jpg,world
21-09-2020,Australian and British bomb disposal workers killed by blast in Solomon Islands,NGO workers mapping second world war bomb sites died when ordnance detonated in their home,https://www.theguardian.com/world/2020/sep/21/solomon-island-bomb-blast-australian-and-briton-killed,https://media.guim.co.uk/f4de887d5a89e6d1e72ea41222b6f640d9b94c47/0_106_1800_1080/500.jpg,world
22-09-2020,Rohingya refugees allege sexual assault on Bangladeshi island,Group says it has been held in jail-like conditions on Bhasan Char since April,https://www.theguardian.com/world/2020/sep/22/rohingya-refugees-allege-sexual-assault-on-bangladeshi-island,https://media.guim.co.uk/bf416cb5c301bb81db2b10437a33f1ca6f6c8f3f/37_0_2954_1773/500.jpg,world
23-09-2020,Australian teenager to address UN about Covid hardship among young women,"<strong>Exclusive: </strong>Mayela Dayeh, 16, a student, says ‘there’s been an absolute decline in mental health’",https://www.theguardian.com/australia-news/2020/sep/23/16-year-old-australian-student-to-address-un-about-covid-hardship-among-young-women,https://media.guim.co.uk/5a03e41d5c7e82d4a14ad21de5cc6a2a8b40ee47/0_403_5971_3583/500.jpg,world
24-09-2020,'Can I really do this?' New Zealand's Ashley Bloomfield reveals self-doubts at height of Covid,Much-lauded health director reveals the mental health toll of leading the medical response to the pandemic,https://www.theguardian.com/world/2020/sep/24/can-i-really-do-this-new-zealands-ashley-bloomfield-reveals-self-doubts-at-height-of-covid,https://media.guim.co.uk/9456b4652d5d5339d922a13452d0ad7f8742220c/312_0_4106_2465/500.jpg,world
25-09-2020,New Zealand is in a 'shecession' – so where is the much-needed 'she-covery'? | Claire Robinson,Both major parties are pinning their hopes on jobs for the boys to lead the post-coronavirus economic recovery,https://www.theguardian.com/world/2020/sep/25/new-zealand-is-in-a-shecession-so-where-is-the-much-needed-she-covery,https://media.guim.co.uk/933b1bf8aeec8b9f28f547a716d1716b750ca47d/0_84_1705_1023/500.jpg,world
