album_id,album_name,artist_name,release_date,album_artwork
4AORimNOUL0YaMx9jYx2G8,"Disney Summer Songs , Vol. 2",Disney,2023-09-25,https://i.scdn.co/image/ab67616d0000b2738cf3b1220ffa8d9986483481
7ayBZIe1FHkNv0T5xFCX6F,The Greatest Showman (Original Motion Picture Soundtrack),Various Artists,2017-12-08,https://i.scdn.co/image/ab67616d0000b273128057b40732c042c86de1dd
6pZj4nvx6lV3ulIK3BSjvs,Moana (Original Motion Picture Soundtrack/Deluxe Edition),Lin-Manuel Miranda,2016-11-18,https://i.scdn.co/image/ab67616d0000b273b30f2e44ae6fa43305bd00bf
5DvpdpEArD8yUCaohP8kvt,Freaking Me Out (Bingo Players Remix),Ava Max,2019-11-15,https://i.scdn.co/image/ab67616d0000b273c99d33eece089594d82f92b1
2I7zD7nw8TXw7XNhZxiTuF,Torn (Hook N Sling Remix),Ava Max,2019-09-12,https://i.scdn.co/image/ab67616d0000b2737994ce138ae06acea310809e
119qG6QCSXSmSV5jTVncMS,Djadja (feat. Afro B) [Remix],Aya Nakamura,2018-04-07,https://i.scdn.co/image/ab67616d0000b273346b6e1cfc9c690c64f905c0
6RAWH9n20mxQ1ILH2kPQm9,Jumanji (Shift K3Y Remix),B Young,2018-02-16,https://i.scdn.co/image/ab67616d0000b273c1e3ee71325bf6740e4a9f3f
0hUQJNECak9L5Baf75HfeV,Djadja (feat. Maluma) [Remix],Aya Nakamura,2020-06-12,https://i.scdn.co/image/ab67616d0000b2734ec452efed595a418b746ce8
1gquVtfIDwZKamEZtJL8qe,High School Musical Original Soundtrack,Various Artists,2006-01-01,https://i.scdn.co/image/ab67616d0000b273bb00d0513a2a9ffd19eff93b
5ffRDoCEAqC33kW1p79QVh,Stop Crying Your Heart Out (BBC Radio 2 Allstars),BBC Children In Need,2020-11-13,https://i.scdn.co/image/ab67616d0000b2733682d317c856a5d22261a9b5
7CaoMilK1vM4KvbbvRVggD,Throat Baby (Go Baby) (with DaBaby & City Girls) [Remix],BRS Kash,2021-01-21,https://i.scdn.co/image/ab67616d0000b273e0411706937b154259b9e90d
3E59vqAvQwK1KtoMaJqcfT,10 from 6 (2009 Remaster),Bad Company,1985-06-01,https://i.scdn.co/image/ab67616d0000b2735188ad8383453a2384fdebca
5abCMGtyHwpOr9cEbwfP1P,Hell: The Sequel (Deluxe),Bad Meets Evil,2011-01-01,https://i.scdn.co/image/ab67616d0000b27359a1132f3cab22f80b2d2777
3y3f6Wm25pZbnIyV2xry0U,Le Malamour (Acoustic),Barbara Pravi,2019-03-08,https://i.scdn.co/image/ab67616d0000b2737a9b00d19e32fd81a8cb82ad
6EIxlDI9fMtooJ1H3toRFO,Heathers: The Musical (World Premiere Cast Recording),Various Artists,2014-06-10,https://i.scdn.co/image/ab67616d0000b273d2d0e13579ab33ae8d3d05e4
6m7n9JuAOMcy8X3ntO0Ktf,Mean Girls (Original Broadway Cast Recording),Various Artists,2018-05-18,https://i.scdn.co/image/ab67616d0000b273bd180d5a0f9d0a4d205c89b4
7hNuGnybf1ZvvjZJVYlAQP,"brand new eyes (From ""Wonder"")",Bea Miller,2017-08-04,https://i.scdn.co/image/ab67616d0000b2737ae91b0c853712cd341b1a86
6iqFb4EhmlHHjJGFcRgJmQ,Staying Alive (Original Motion Picture Soundtrack),Various Artists,1977-12-13,https://i.scdn.co/image/ab67616d0000b27355fb38fda5321a8923911ff9
7mobsmc3f0QRDiuUnVfq6T,Javooni,Various Artists,2019-03-13,https://i.scdn.co/image/ab67616d0000b273098d7c1a62c821adb3957c41
7G8KkN7KV6Xe60eGlw0H2L,Les femmes idéales (Réédition),Ben Mazué,2018-11-09,https://i.scdn.co/image/ab67616d0000b2734eb9be6afe309824a798ec14
19Qa6UYUsqdEv1D5cttxJC,Ziadesh Khoobe (Arian Goleh Remix),Behzad Leito,,https://i.scdn.co/image/ab67616d0000b27349b9b607ba91eef6f646161e
0LhDyJXelg31FKLW5GDcKi,Dear Evan Hansen (Original Broadway Cast Recording),Various Artists,2017-02-03,https://i.scdn.co/image/ab67616d0000b273eefa3ed06dec22db89d0e793
61PmcCYa4hA34roDjvTgbk,Waving Through A Window (from Dear Evan Hansen [Original Broadway Cast Recording]),Ben Platt,2016-12-02,https://i.scdn.co/image/ab67616d0000b2737c5f686d8d79cd85e9d9638d
5yauUuXppqUj2ulor38hvI,The Book Of Mormon (Original Broadway Cast Recording),Trey Parker,2011-05-17,https://i.scdn.co/image/ab67616d0000b273d9cd8917de31257e2ac920a9
5KZ5cuVY1oLvHI1ecqoUJP,Beautiful Things (Alternate Versions),Benson Boone,2024-02-23,https://i.scdn.co/image/ab67616d0000b273207eff257681334642a5dd92
3VelGGa5ZgDXNhwsVCh9BL,Bestie (feat. Kodak Black) [Spenda C Nola Bounce Remix],Bhad Bhabie,2019-01-28,https://i.scdn.co/image/ab67616d0000b273708f4a0cebb75577c1254e8c
49yiYOnz2UyaNl72xvDERt,Renegade (Pop Version),Big Red Machine,2021-08-17,https://i.scdn.co/image/ab67616d0000b273f0b56f34301a37d015cbb678
2DnyCaBFPD1ZsZKEMVvn7E,101 Dalmatians Original Soundtrack,Various Artists,1998-01-01,https://i.scdn.co/image/ab67616d0000b27395c23bde9f94ee53663481c0
5YCdlD3eREt72lTZxNL7id,dont smile at me (Expanded Edition),Billie Eilish,2017-08-11,https://i.scdn.co/image/ab67616d0000b2739c05fec02bd9b81ee1246b2f
2xgi7tCocjnULdraqmheR1,No Time To Die (Original Motion Picture Soundtrack),Hans Zimmer,2021-10-01,https://i.scdn.co/image/ab67616d0000b2736783e68449c6a325f122bc8f
6TwlLNU5Zd9qGuNgSLeWPt,Don't Say No (Remastered 2010),Billy Squier,,https://i.scdn.co/image/ab67616d0000b273f4822f8034e697410a14a297
6ig2k0oiH2AXm8MugikskB,Fire Within (Deluxe),Birdy,2013-09-16,https://i.scdn.co/image/ab67616d0000b2736cf816391f4d0c49d481ee1b
1dgbFU08pXJXZhGPlybdMX,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],Black Eyed Peas,2009-01-01,https://i.scdn.co/image/ab67616d0000b2730bd44f5ff9ecc99f7770acc5
132qAo1cDiEJdA3fv4xyNK,Paranoid (2009 Remastered Version),Black Sabbath,1970-09-18,https://i.scdn.co/image/ab67616d0000b2739683e5d7361bb80bfb00f46d
552zi1M53PQAX5OH4FIdTx,The Lion King: The Gift,Beyoncé,2019-07-19,https://i.scdn.co/image/ab67616d0000b2734ccc03169b086af698178a99
18K5xK91s36fWgIcfzkcEt,Love Generation (Radio Edit),Bob Sinclar,2005-06-20,https://i.scdn.co/image/ab67616d0000b27382feaca18c25474ce8de175f
0Irhq0vH0TR4TodaAIXG5N,The Twilight Saga: New Moon (Original Motion Picture Soundtrack),Various Artists,2009-10-16,https://i.scdn.co/image/ab67616d0000b27381cb7e6da15c478dc2632009
7bt2aty3lUo6Q1Ud8pthRz,Aladdin Special Edition,Alan Menken,2004-01-01,https://i.scdn.co/image/ab67616d0000b2734a4b92dcf7a5c51cc4f7424c
2k9FuG5GyW61y2a0j4R3vP,Walt Disney Records The Legacy Collection: Aladdin,Alan Menken,2022-09-16,https://i.scdn.co/image/ab67616d0000b27391e50512155a55cc0a46775a
3KPOdANPLDWwF0U4TOzjrK,Descendants: The Rise of Red (Original Soundtrack),Descendants – Cast,2024-07-12,https://i.scdn.co/image/ab67616d0000b27325d195784363d062a5dcfc0f
1NoegGXKwW97ZQB9ctl2Tw,Can You Feel My Heart (Remix),Bring Me The Horizon,2021-03-05,https://i.scdn.co/image/ab67616d0000b2737e06c7e5489ffe0fd0e86d03
